Distance Matrix (rows/cols: 0=depot, 1..n=customers):
           0      1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99    100
  10   16.76  10.20  10.77   7.00   7.28   7.07   5.83   5.00   3.61   5.00   0.00   3.00  21.47  15.81  23.02  20.52  24.21  19.24  21.93  24.41  16.76  14.87  15.65  13.04  18.87  17.20  14.87  18.44  16.28  21.93  18.60  39.82  36.07  37.48  34.21  43.14  36.62  42.01  43.60  40.82  36.00  34.00  34.06  31.06  36.12  36.35  34.37  31.40  36.67  31.78  35.17  37.36  32.57  61.66  56.44  51.48  61.20  51.24  61.07  51.09  61.00  39.00  34.44  30.02  38.28  29.07  33.24  28.64  37.36  32.57  69.97  67.54  40.25  67.42  35.85  10.05  63.13  64.07  61.40  63.25  64.66  58.83  41.48  38.60  35.90  33.54  32.89  31.95  30.59  29.12  27.31  25.71  37.22  35.51  34.00  30.41  28.65  31.40  24.70  24.41  27.59
  11   19.65  10.05  10.05   7.62   7.07   8.06   5.00   5.83   3.16   3.16   3.00   0.00  18.87  14.32  20.62  18.60  21.93  18.03  20.88  22.83  19.65  17.72  18.38  15.65  21.47  19.72  17.20  20.81  18.44  24.21  20.52  42.20  38.29  39.62  36.12  45.34  38.42  43.93  45.45  42.44  39.00  37.00  37.05  34.06  39.12  39.32  37.34  34.37  39.62  34.71  38.08  40.26  35.44  64.63  59.41  54.45  64.20  54.23  64.07  54.08  64.00  41.79  37.16  32.65  41.11  31.78  36.06  31.38  40.26  35.44  71.56  68.96  42.95  69.07  38.47  10.77  64.66  65.80  62.97  65.00  66.60  60.46  42.38  39.56  36.69  34.21  34.01  33.11  31.32  30.08  28.65  26.57  35.78  34.00  32.70  29.15  27.31  29.68  23.77  22.83  25.61
  12   38.08  26.25  25.00  25.50  24.04  26.25  21.93  24.21  21.40  19.85  21.47  18.87   0.00  10.44   3.00   7.07   5.00  12.21  14.14  11.18  35.36  33.38  33.14  30.15  35.00  33.00  30.00  33.06  30.07  35.36  30.41  52.20  47.43  48.10  43.46  53.85  44.72  50.54  51.48  47.17  55.90  53.94  53.60  50.64  55.44  55.23  53.24  50.25  55.08  50.09  53.01  55.00  50.00  82.23  76.90  72.03  81.39  71.59  81.05  71.20  80.62  60.42  55.90  51.48  59.62  50.54  54.63  50.09  58.52  53.85  89.02  86.02  61.72  86.68  57.31  28.28  82.01  83.63  80.43  82.88  84.85  78.10  58.31  55.76  52.48  49.74  50.80  50.00  47.17  46.62  46.10  43.01  42.00  40.00  40.11  37.34  35.36  35.00  34.48  30.41  30.00
  13   30.81  24.04  23.54  21.93  21.19  22.36  18.97  20.12  17.46  16.76  15.81  14.32  10.44   0.00  10.00   5.39  10.20   4.00   7.00   8.60  26.25  24.35  23.77  20.88  25.18  23.19  20.22  23.02  20.02  25.08  20.10  41.76  37.00  37.70  33.11  43.46  34.48  40.31  41.34  37.20  46.84  44.92  44.38  41.48  46.10  45.71  43.74  40.79  45.40  40.45  43.19  45.10  40.11  73.38  68.01  63.25  72.28  62.64  71.81  62.10  71.20  53.00  48.83  44.82  51.97  43.60  47.17  43.01  50.54  46.14  85.76  83.24  54.64  83.22  50.61  25.08  78.89  79.88  77.18  79.06  80.43  74.63  56.65  53.85  50.92  48.38  48.33  47.42  45.54  44.38  42.94  40.85  46.10  44.15  43.57  40.31  38.33  39.29  36.00  33.38  34.48
  14   39.36  28.60  27.46  27.59  26.25  28.28  24.08  26.17  23.35  21.93  23.02  20.62   3.00  10.00   0.00   5.39   2.00  10.77  12.21   8.60  35.90  33.96  33.54  30.59  35.13  33.14  30.15  33.02  30.02  35.06  30.07  51.42  46.57  47.13  42.38  52.81  43.46  49.24  50.09  45.65  56.52  54.57  54.13  51.20  55.90  55.58  53.60  50.64  55.33  50.36  53.15  55.08  50.09  82.97  77.62  72.80  82.00  72.28  81.58  71.81  81.05  61.72  57.31  53.00  60.84  51.97  55.90  51.48  59.62  55.04  91.40  88.48  63.13  89.02  58.83  30.48  84.40  85.91  82.80  85.15  87.00  80.43  60.90  58.31  55.07  52.35  53.25  52.43  49.74  49.09  48.41  45.49  45.00  43.00  43.10  40.31  38.33  38.00  37.36  33.38  33.00
  15   36.06  27.73  26.93  26.08  25.06  26.63  22.83  24.41  21.63  20.59  20.52  18.60   7.07   5.39   5.39   0.00   5.00   5.39   7.07   5.00  31.62  29.73  29.12  26.25  30.41  28.44  25.50  28.16  25.18  30.00  25.00  46.10  41.23  41.76  37.00  47.43  38.08  43.86  44.72  40.31  52.20  50.29  49.73  46.84  51.42  50.99  49.03  46.10  50.64  45.71  48.37  50.25  45.28  78.75  73.38  68.62  77.62  68.01  77.13  67.45  76.49  58.31  54.08  50.00  57.31  48.83  52.48  48.26  55.90  51.48  90.14  87.46  59.91  87.66  55.80  29.15  83.22  84.40  81.54  83.60  85.15  79.06  60.42  57.70  54.63  52.00  52.35  51.48  49.24  48.30  47.17  44.72  47.27  45.28  45.04  42.00  40.00  40.31  38.33  35.00  35.36
  16   40.31  30.23  29.15  29.07  27.80  29.73  25.61  27.59  24.76  23.43  24.21  21.93   5.00  10.20   2.00   5.00   0.00  10.20  11.18   7.07  36.40  34.48  33.96  31.05  35.36  33.38  30.41  33.14  30.15  35.00  30.00  50.99  46.10  46.57  41.76  52.20  42.72  48.47  49.24  44.72  57.01  55.08  54.57  51.66  56.29  55.90  53.94  50.99  55.58  50.64  53.34  55.23  50.25  83.52  78.16  73.38  82.46  72.80  82.00  72.28  81.39  62.65  58.31  54.08  61.72  53.00  56.82  52.48  60.42  55.90  93.01  90.14  64.14  90.60  59.91  32.02  86.02  87.46  84.40  86.68  88.46  82.01  62.65  60.03  56.82  54.12  54.92  54.08  51.48  50.77  50.00  47.17  47.00  45.00  45.10  42.30  40.31  40.00  39.29  35.36  35.00
  17   33.30  27.89  27.46  25.63  25.00  26.00  22.80  23.77  21.19  20.62  19.24  18.03  12.21   4.00  10.77   5.39  10.20   0.00   3.00   5.83  27.73  25.94  25.08  22.36  25.96  24.04  21.19  23.54  20.62  25.08  20.10  40.79  35.90  36.40  31.62  42.06  32.70  38.48  39.36  34.99  48.10  46.24  45.54  42.72  47.13  46.57  44.64  41.76  46.10  41.23  43.74  45.54  40.61  74.67  69.29  64.62  73.38  63.91  72.80  63.25  72.03  55.22  51.22  47.42  54.08  46.10  49.41  45.45  52.48  48.26  89.19  86.77  57.01  86.61  53.15  28.79  82.37  83.22  80.62  82.38  83.60  78.03  60.41  57.58  54.71  52.20  52.00  51.08  49.34  48.10  46.52  44.60  50.01  48.05  47.52  44.28  42.30  43.17  40.00  37.34  38.33
  18   35.36  30.81  30.41  28.46  27.89  28.79  25.71  26.57  24.04  23.54  21.93  20.88  14.14   7.00  12.21   7.07  11.18   3.00   0.00   5.00  29.15  27.46  26.42  23.85  26.93  25.08  22.36  24.35  21.54  25.50  20.62  40.31  35.36  35.69  30.81  41.23  31.62  37.34  38.08  33.54  49.24  47.42  46.62  43.86  48.10  47.43  45.54  42.72  46.84  42.06  44.38  46.10  41.23  75.77  70.38  65.80  74.33  65.00  73.68  64.26  72.80  57.01  53.15  49.50  55.80  48.10  51.22  47.42  54.08  50.00  91.79  89.44  58.90  89.19  55.17  31.62  85.00  85.76  83.24  84.91  86.02  80.62  63.25  60.41  57.57  55.08  54.78  53.85  52.20  50.92  49.24  47.43  52.95  50.99  50.49  47.27  45.28  46.10  43.00  40.31  41.23
  19   39.05  32.31  31.62  30.41  29.55  30.89  27.31  28.65  25.94  25.08  24.41  22.83  11.18   8.60   8.60   5.00   7.07   5.83   5.00   0.00  33.54  31.76  30.87  28.18  31.62  29.73  26.93  29.12  26.25  30.41  25.50  45.28  40.31  40.61  35.69  46.10  36.40  42.06  42.72  38.08  53.85  52.00  51.26  48.47  52.81  52.20  50.29  47.43  51.66  46.84  49.24  50.99  46.10  80.41  75.03  70.38  79.06  69.64  78.45  68.95  77.62  61.03  57.01  53.15  59.91  51.86  55.22  51.22  58.31  54.08  94.34  91.79  62.80  91.81  58.90  33.54  87.46  88.48  85.76  87.66  89.02  83.22  65.00  62.24  59.24  56.65  56.80  55.90  53.85  52.80  51.48  49.24  52.24  50.25  50.04  47.00  45.00  45.28  43.29  40.00  40.31
  20   10.00  23.43  25.00  20.00  21.63  19.21  21.47  18.87  19.70  21.54  16.76  19.65  35.36  26.25  35.90  31.62  36.40  27.73  29.15  33.54   0.00   2.00   2.83   5.39   5.00   5.39   7.07   7.28   8.60  10.00  11.18  25.00  22.36  24.17  22.56  29.15  25.50  29.73  31.62  30.41  20.62  18.68  18.25  15.30  20.10  20.00  18.00  15.00  20.10  15.13  18.44  20.62  15.81  47.13  41.76  37.00  46.10  36.40  45.71  35.90  45.28  28.28  25.00  22.36  26.91  20.59  22.67  19.72  25.00  21.21  68.01  66.71  30.48  65.15  27.46  21.21  61.85  61.35  59.91  60.41  60.42  57.01  45.28  42.30  40.79  39.29  36.35  35.36  36.40  33.96  30.41  31.62  50.93  49.50  47.42  43.86  42.43  46.10  37.54  39.05  43.01
  21   10.20  21.93  23.43  18.44  20.00  17.69  19.72  17.20  17.89  19.70  14.87  17.72  33.38  24.35  33.96  29.73  34.48  25.94  27.46  31.76   2.00   0.00   2.00   3.61   5.39   5.00   5.83   7.00   7.62  10.20  10.44  26.25  23.32  25.06  23.09  30.23  25.96  30.46  32.31  30.81  22.56  20.62  20.22  17.26  22.09  22.00  20.00  17.00  22.09  17.12  20.40  22.56  17.72  49.04  43.68  38.90  48.05  38.33  47.68  37.85  47.27  29.73  26.25  23.32  28.43  21.63  24.04  20.81  26.63  22.67  68.62  67.19  31.83  65.79  28.60  19.85  62.36  62.03  60.44  61.10  61.27  57.57  45.10  42.11  40.45  38.83  36.12  35.13  35.90  33.54  30.15  31.05  49.58  48.10  46.10  42.52  41.04  44.60  36.24  37.54  41.40
  22   12.17  23.35  24.76  19.80  21.26  19.10  20.81  18.44  18.87  20.59  15.65  18.38  33.14  23.77  33.54  29.12  33.96  25.08  26.42  30.87   2.83   2.00   0.00   3.00   3.61   3.00   4.24   5.00   5.83   8.25   8.54  24.76  21.63  23.32  21.19  28.60  24.04  28.64  30.46  28.86  23.09  21.19  20.62  17.72  22.36  22.09  20.10  17.12  22.00  17.00  20.10  22.20  17.26  49.65  44.27  39.56  48.51  38.90  48.05  38.33  47.52  31.11  27.80  25.06  29.73  23.32  25.50  22.47  27.80  24.04  70.52  69.12  33.30  67.68  30.23  21.40  64.29  63.91  62.36  62.97  63.07  59.48  47.10  44.10  42.43  40.79  38.12  37.12  37.85  35.51  32.14  32.98  51.09  49.58  47.63  44.05  42.52  45.97  37.80  38.90  42.64
  23   13.00  21.40  22.67  17.80  19.10  17.20  18.44  16.28  16.40  18.03  13.04  15.65  30.15  20.88  30.59  26.25  31.05  22.36  23.85  28.18   5.39   3.61   3.00   0.00   5.83   4.24   3.00   5.83   5.00   9.43   8.00  26.91  23.43  25.00  22.36  30.48  25.08  30.02  31.76  29.73  25.96  24.04  23.54  20.62  25.32  25.08  23.09  20.10  25.00  20.00  23.09  25.18  20.22  52.50  47.13  42.38  51.42  41.76  50.99  41.23  50.49  33.30  29.73  26.63  32.02  25.00  27.59  24.21  30.23  26.25  71.51  69.92  35.36  68.71  32.02  19.72  65.15  65.00  63.25  64.08  64.41  60.41  47.00  44.00  42.11  40.31  38.00  37.00  37.34  35.13  32.00  32.39  49.20  47.63  45.80  42.20  40.61  43.86  36.06  36.80  40.36
  24   15.00  26.91  28.28  23.35  24.76  22.67  24.21  21.93  22.20  23.85  18.87  21.47  35.00  25.18  35.13  30.41  35.36  25.96  26.93  31.62   5.00   5.39   3.61   5.83   0.00   2.00   5.00   2.83   5.39   5.00   7.07  21.21  18.03  19.72  17.72  25.00  20.62  25.08  26.93  25.50  22.36  20.59  19.70  17.00  21.19  20.62  18.68  15.81  20.22  15.30  18.03  20.00  15.00  48.85  43.46  38.91  47.43  38.08  46.84  37.34  46.10  32.02  29.15  26.93  30.48  25.08  26.63  24.17  28.28  25.00  72.80  71.59  34.41  69.92  31.76  25.00  66.71  66.10  64.76  65.15  65.00  61.85  50.25  47.27  45.71  44.15  41.30  40.31  41.23  38.83  35.36  36.40  54.67  53.15  51.22  47.63  46.10  49.50  41.40  42.43  46.10
  25   15.13  25.61  26.91  22.02  23.35  21.40  22.67  20.52  20.62  22.20  17.20  19.72  33.00  23.19  33.14  28.44  33.38  24.04  25.08  29.73   5.39   5.00   3.00   4.24   2.00   0.00   3.00   2.00   3.61   5.39   5.83  22.67  19.21  20.81  18.38  26.25  21.19  25.94  27.73  25.96  24.17  22.36  21.54  18.79  23.09  22.56  20.62  17.72  22.20  17.26  20.02  22.00  17.00  50.70  45.31  40.72  49.34  39.92  48.76  39.22  48.05  33.30  30.23  27.73  31.83  25.94  27.80  25.06  29.73  26.25  73.38  72.03  35.61  70.52  32.76  23.85  67.19  66.73  65.25  65.79  65.80  62.36  50.09  47.10  45.40  43.74  41.11  40.11  40.79  38.47  35.13  35.90  53.41  51.86  50.00  46.40  44.82  48.10  40.22  41.04  44.60
  26   15.81  23.85  25.00  20.25  21.40  19.72  20.52  18.60  18.38  19.85  14.87  17.20  30.00  20.22  30.15  25.50  30.41  21.19  22.36  26.93   7.07   5.83   4.24   3.00   5.00   3.00   0.00   3.61   2.00   7.07   5.00  25.00  21.21  22.67  19.72  28.28  22.36  27.46  29.15  26.93  26.93  25.08  24.35  21.54  25.96  25.50  23.54  20.62  25.18  20.22  23.02  25.00  20.00  53.49  48.10  43.46  52.20  42.72  51.66  42.06  50.99  35.36  32.02  29.15  33.97  27.46  29.73  26.63  32.02  28.28  74.33  72.80  37.54  71.51  34.41  22.36  68.01  67.78  66.10  66.85  67.08  63.25  50.00  47.00  45.10  43.29  41.00  40.00  40.31  38.12  35.00  35.36  51.61  50.00  48.26  44.65  43.01  46.10  38.59  39.05  42.43
  27   17.12  27.20  28.43  23.60  24.84  23.02  24.04  22.02  21.93  23.43  18.44  20.81  33.06  23.02  33.02  28.16  33.14  23.54  24.35  29.12   7.28   7.00   5.00   5.83   2.83   2.00   3.61   0.00   3.00   3.61   4.24  21.40  17.69  19.21  16.55  24.76  19.31  24.19  25.94  24.04  25.06  23.32  22.36  19.72  23.77  23.09  21.19  18.38  22.56  17.72  20.22  22.09  17.12  51.48  46.10  41.59  49.98  40.72  49.34  39.92  48.51  34.83  31.91  29.55  33.30  27.73  29.41  26.83  31.11  27.80  75.29  73.98  37.20  72.42  34.48  25.55  69.12  68.62  67.19  67.68  67.62  64.29  52.09  49.09  47.38  45.71  43.10  42.11  42.76  40.45  37.12  37.85  55.00  53.41  51.61  48.01  46.40  49.58  41.88  42.52  45.97
  28   17.72  25.55  26.63  21.95  23.02  21.47  22.02  20.25  19.85  21.21  16.28  18.44  30.07  20.02  30.02  25.18  30.15  20.62  21.54  26.25   8.60   7.62   5.83   5.00   5.39   3.61   2.00   3.00   0.00   5.83   3.00  23.85  19.85  21.21  18.03  26.91  20.59  25.81  27.46  25.08  27.73  25.94  25.08  22.36  26.57  25.96  24.04  21.19  25.50  20.62  23.19  25.08  20.10  54.23  48.85  44.28  52.81  43.46  52.20  42.72  51.42  36.80  33.60  30.89  35.36  29.15  31.24  28.30  33.30  29.73  76.22  74.73  39.05  73.39  36.06  24.17  69.92  69.64  68.01  68.71  68.88  65.15  52.00  49.00  47.10  45.28  43.00  42.00  42.30  40.11  37.00  37.34  53.25  51.61  49.93  46.32  44.65  47.63  40.31  40.61  43.86
  29   20.00  30.81  32.02  27.20  28.43  26.63  27.59  25.61  25.46  26.91  21.93  24.21  35.36  25.08  35.06  30.00  35.00  25.08  25.50  30.41  10.00  10.20   8.25   9.43   5.00   5.39   7.07   3.61   5.83   0.00   5.00  18.03  14.14  15.62  13.00  21.21  15.81  20.59  22.36  20.62  25.00  23.43  22.20  19.85  23.32  22.36  20.59  18.03  21.54  17.00  18.97  20.62  15.81  51.00  45.65  41.34  49.24  40.31  48.47  39.36  47.43  36.06  33.54  31.62  34.41  29.73  30.89  28.79  32.02  29.15  77.62  76.49  38.59  74.73  36.25  29.15  71.59  70.88  69.63  69.92  69.64  66.71  55.23  52.24  50.64  49.03  46.27  45.28  46.10  43.74  40.31  41.23  58.60  57.01  55.22  51.61  50.00  53.15  45.49  46.10  49.50
  30   20.62  28.18  29.15  24.60  25.55  24.17  24.41  22.83  22.20  23.43  18.60  20.52  30.41  20.10  30.07  25.00  30.00  20.10  20.62  25.50  11.18  10.44   8.54   8.00   7.07   5.83   5.00   4.24   3.00   5.00   0.00  22.36  18.03  19.21  15.62  25.00  18.03  23.43  25.00  22.36  29.15  27.46  26.42  23.85  27.73  26.93  25.08  22.36  26.25  21.54  23.77  25.50  20.62  55.46  50.09  45.65  53.85  44.72  53.14  43.86  52.20  39.05  36.06  33.54  37.54  31.76  33.60  30.89  35.36  32.02  79.06  77.62  41.40  76.22  38.59  26.93  72.80  72.45  70.88  71.51  71.59  68.01  55.00  52.00  50.09  48.26  46.00  45.00  45.28  43.10  40.00  40.31  55.76  54.08  52.48  48.88  47.17  50.00  42.94  43.01  46.10
  31   33.54  48.10  49.50  44.55  45.97  43.86  45.34  43.14  43.28  44.82  39.82  42.20  52.20  41.76  51.42  46.10  50.99  40.79  40.31  45.28  25.00  26.25  24.76  26.91  21.21  22.67  25.00  21.40  23.85  18.03  22.36   0.00   5.00   5.39  10.20   5.00  11.18   9.43  11.18  14.14  25.50  25.18  23.19  23.00  22.56  20.62  20.22  20.00  18.68  18.00  16.28  15.81  15.00  45.34  40.61  37.74  42.43  36.06  41.04  34.41  39.05  40.31  40.00  40.31  38.33  38.33  37.00  37.34  35.36  35.00  85.15  85.00  43.29  82.15  43.00  46.10  80.00  78.16  78.00  77.16  75.66  75.00  68.01  65.15  64.26  63.16  59.46  58.52  60.42  57.78  53.85  55.90  75.82  74.33  72.35  68.77  67.27  70.71  62.48  63.64  67.27
  32   31.62  44.82  46.10  41.23  42.52  40.61  41.73  39.70  39.60  41.04  36.07  38.29  47.43  37.00  46.57  41.23  46.10  35.90  35.36  40.31  22.36  23.32  21.63  23.43  18.03  19.21  21.21  17.69  19.85  14.14  18.03   5.00   0.00   2.00   5.39   7.07   7.07   8.00  10.00  11.18  26.93  26.25  24.35  23.54  24.17  22.36  21.54  20.62  20.59  18.68  17.89  18.03  15.81  48.80  43.86  40.61  46.10  39.05  44.82  37.54  43.01  41.23  40.31  40.00  39.29  38.00  37.34  37.00  36.40  35.36  85.59  85.15  44.15  82.61  43.29  43.01  80.16  78.64  78.16  77.65  76.49  75.17  66.71  63.79  62.64  61.35  57.97  57.01  58.52  55.97  52.20  53.85  72.62  71.06  69.20  65.60  64.03  67.27  59.41  60.21  63.64
